category,bodytrack,CG,canneal,SP
runtime,28.430275678634644,107.69070553779602,109.58795595169067,166.01774072647095
l2miss,58382094.808043875,694073521.5421456,42646383.12171838,661586752.2243346
l3miss,2137276.965265082,131357946.64750957,33900952.964200474,323908283.4854246
instructions,28458018819.451557,7185644411.455938,1225551346.8926015,25369347549.45501
cycles,12609562855.027424,16096761322.873564,7682773354.51074,19187531885.500633
stall_cycles,1270936411.700183,11808625207.806513,6742477024.124105,9164865978.041824
intra_coh,6907837.367458866,311739.9233716475,2308720.1909307875,45345.36755386565
inter_coh,1.9012797074954295,27.940613026819925,152.47732696897376,27.648922686945497
wall_cycles,2136047564.8263254,2119851618.5440612,2158306348.095465,2177067106.692015
llc_size,418644447.2394881,716882861.6091955,84282737.03102626,762877663.878327
local_mem,120416109.98171848,8467403740.689655,105236113.41288783,2943169430.8745246
remote_mem,3081509.908592322,28963271.111111112,2589224441.890215,22374396573.68821
