category,swaptions,freqmine,CG,SP
runtime,51.791380167007446,78.20834159851074,120.30030584335327,169.72518944740295
l2miss,5491342.21319797,73386383.54253834,619812182.3897216,612825724.7447264
l3miss,18492.670050761422,32153110.571827054,117670823.70877944,358169838.1779272
instructions,30861760773.340103,34370805401.54812,6516132113.601713,24573600325.093246
cycles,16013282537.949238,20223728566.359833,15673409395.940044,15146753424.133293
stall_cycles,2822018870.375634,5910331322.942818,11733355760.80514,5634398618.018955
intra_coh,4135482.456852792,17267132.92887029,276988.539614561,46234.191378783245
inter_coh,0.3857868020304569,1.8688981868898185,1.2334047109207709,0.966065423417915
wall_cycles,2162743043.8375635,2269332242.217573,2133067521.764454,2155528061.6264143
llc_size,44605731.08629442,357763491.88284516,246982870.88650966,660011433.127484
local_mem,726551.3908629441,2447273281.338912,7576919800.873662,28172245424.640785
remote_mem,121091.89847715736,154334080.8926081,193019377.74732333,639782427.3922348
