category,bfs,canneal,SP,streamcluster
runtime,39.25996136665344,58.84868669509888,152.9853355884552,168.9211196899414
l2miss,3440637488.0952377,1228122581.5533981,3693630740.526198,601575041.8188282
l3miss,1369340309.5238094,685188319.7411003,2072732192.5779207,498288595.6436028
instructions,1891918637130.9524,39451004607.44336,147263958551.87234,35217494167.88934
cycles,879325325321.4286,142254486300.9709,92049105635.24927,75617074533.5617
stall_cycles,213557049095.2381,114394771685.43689,35170276403.991325,56367501452.638725
intra_coh,451320404.7619047,3749262.4595469255,234191.90522460573,42668670.0707753
inter_coh,1321.4285714285713,17.15210355987055,71.9037297256895,20.16611188313997
wall_cycles,18128555392.857143,15863588255.016182,11379950442.85821,10393679290.50189
llc_size,1506547809.5238094,38196395660.84142,36301991694.44652,12179540387.422035
local_mem,1708617142.857143,45367009677.66991,161131914246.5057,29057984229.583427
remote_mem,91282285.71428572,1266053716.5048544,5286434327.22924,1666909843.777268
