category,swaptions,canneal,streamcluster,SP
runtime,61.79747152328491,65.48231720924377,119.90708112716675,239.07819604873657
l2miss,4770908.471760797,70947547.84937239,158884210.24597114,451477448.40257716
l3miss,17496.794019933553,49595157.790794976,127227774.55470738,239897705.8520329
instructions,25331780201.827244,2147260916.3849373,9269970973.765903,17836399718.555878
cycles,15838753814.418604,10775835841.807533,15181064836.403732,11623237507.607197
stall_cycles,3768169776.5448503,9201372596.702929,10189927557.608143,4666289886.4519
intra_coh,3475678.3554817275,1795610.2928870292,10917423.358778626,31657.94267940458
inter_coh,0.03322259136212625,0.18410041841004185,0.47497879558948264,0.1110864252388358
wall_cycles,2120327158.1229236,2273807097.7238493,2117155331.9253607,2213597483.217063
llc_size,46515319.069767445,351823572.08368206,740670195.6234096,472146329.50899804
local_mem,285223.12292358803,3878292150.0920506,8072905134.792196,19025885601.244167
remote_mem,69672.82392026579,9530415.129707113,26007619.74554707,119183207.57165074
